question,answer,tags
What is a blood test?,"A blood test involves taking a small sample of blood to check for various conditions. It is a common diagnostic tool.",blood test
What is an X-ray?,"An X-ray is an imaging test that uses radiation to see inside the body. It is often used to check for broken bones.",xray x-ray
What is an MRI?,"An MRI uses magnets and radio waves to create detailed images of the body. It is used to check organs, joints, and the brain.",mri
What is a CT scan?,"A CT scan uses X-rays to create detailed cross-sectional images of the body. It is faster than an MRI.",ct scan
What is an ultrasound?,"An ultrasound uses sound waves to create images. It is often used in pregnancy and to check organs.",ultrasound
What is an ECG?,"An ECG (electrocardiogram) measures the electrical activity of the heart. It is used to detect heart problems.",ecg ekg
What is an endoscopy?,"An endoscopy is a procedure where a flexible tube with a camera is used to look inside the body, often the stomach or colon.",endoscopy
What is a biopsy?,"A biopsy is when a small sample of tissue is removed to check for disease, often cancer.",biopsy
What is chemotherapy?,"Chemotherapy is a cancer treatment that uses drugs to kill cancer cells. It can cause side effects like nausea, hair loss, and fatigue.",chemotherapy cancer
What is radiation therapy?,"Radiation therapy uses high-energy rays to kill cancer cells. It is often used alongside other treatments.",radiation therapy
What is surgery?,"Surgery is a medical procedure where a doctor operates on the body. It can be used to diagnose, treat, or prevent disease.",surgery
What is anaesthesia?,"Anaesthesia is medicine that blocks pain during surgery. There are different types: local, regional, and general.",anaesthesia
What is physiotherapy?,"Physiotherapy is treatment that uses exercise, massage, and other techniques to improve movement and reduce pain.",physiotherapy
What is occupational therapy?,"Occupational therapy helps people with daily activities, especially after injury or illness.",occupational therapy
What is speech therapy?,"Speech therapy helps people with speech, language, and swallowing problems.",speech therapy
What is counselling?,"Counselling is talking therapy that helps people work through emotional and psychological problems.",counselling
What is cognitive behavioural therapy?,"CBT is a type of therapy that helps change negative thought patterns. It is effective for depression, anxiety, and other conditions.",cbt therapy
What is mindfulness?,"Mindfulness is being present in the moment without judgement. It helps reduce stress and improve mental health.",mindfulness
What is yoga?,"Yoga is a practice that combines poses, breathing, and meditation. It improves flexibility, strength, and mental wellbeing.",yoga
What is meditation?,"Meditation is a practice of focusing the mind to achieve calmness and clarity. It reduces stress and improves focus.",meditation
What is acupuncture?,"Acupuncture is a traditional Chinese medicine where thin needles are inserted into the skin. It is used for pain relief.",acupuncture
What is homeopathy?,"Homeopathy is a form of alternative medicine. There is little scientific evidence that it works.",homeopathy
What is herbal medicine?,"Herbal medicine uses plants for healing. Some herbs have proven benefits, but others can be dangerous or interact with medicines.",herbal
What is traditional medicine?,"Traditional medicine refers to healing practices passed down through generations. In South Africa, traditional healers (sangomas and inyangas) are widely used.",traditional medicine
What is a sangoma?,"A sangoma is a traditional healer in Southern Africa who communicates with ancestors. They are consulted for many health and life issues.",sangoma traditional
What is an inyanga?,"An inyanga is a traditional herbalist in Southern Africa. They use plants and natural remedies for healing.",inyanga traditional
What is muthi?,"Muthi is traditional medicine in Southern Africa. It can be herbal or animal-based. Some muthi is safe, but some can be harmful.",muthi traditional
What is a wet nurse?,"A wet nurse is a woman who breastfeeds another woman's child. This was common historically but is rare today.",wet nurse
What is breastfeeding?,"Breastfeeding provides babies with the ideal nutrition and antibodies. It is recommended exclusively for the first 6 months.",breastfeeding
How long should I breastfeed?,"Exclusive breastfeeding is recommended for the first 6 months. Continue breastfeeding alongside solid foods until at least 2 years.",breastfeeding
What is formula feeding?,"Formula feeding is an alternative to breastfeeding. Modern formulas provide good nutrition but lack the antibodies of breast milk.",formula
How do I introduce solid foods?,"Start at around 6 months with soft, mashed foods. Introduce one food at a time to watch for allergies.",solid food baby
What is colic?,"Colic is when a baby cries for more than 3 hours a day, 3 days a week, for 3 weeks. The cause is unknown but it usually improves by 3-4 months.",colic baby
What is teething?,"Teething is when a baby's first teeth come through. It can cause drooling, irritability, and gum pain. It usually starts around 6 months.",teething baby
What is cradle cap?,"Cradle cap is a common skin condition in babies with yellow, crusty patches on the scalp. It usually clears up on its own.",cradle cap baby
What is nappy rash?,"Nappy rash is red, irritated skin in the nappy area. It is caused by moisture and irritation. Keep the area clean and dry.",nappy rash baby
What is jaundice in newborns?,"Newborn jaundice is a yellowing of the skin and eyes. It is common and usually harmless, but severe cases need treatment.",jaundice newborn
What is cot death?,"Cot death (SIDS) is the sudden unexplained death of a baby under 1 year. Put babies on their back to sleep to reduce risk.",sids cot death
What is immunisation?,"Immunisation is the process of making someone immune to a disease, usually through vaccination.",immunisation
What is herd immunity?,"Herd immunity is when enough people are vaccinated to protect those who can't be vaccinated.",herd immunity
What is a pandemic?,"A pandemic is a global outbreak of a disease. COVID-19 is a recent example.",pandemic
What is an epidemic?,"An epidemic is a rapid spread of a disease in a specific area.",epidemic
What is an endemic?,"An endemic disease is one that is always present in a population, like malaria in some regions.",endemic
What is a quarantine?,"Quarantine is separating people who may have been exposed to a disease to prevent spread.",quarantine
What is isolation?,"Isolation is separating people who are sick to prevent spread of disease.",isolation
What is contact tracing?,"Contact tracing is finding people who may have been in contact with an infected person.",contact tracing
What is social distancing?,"Social distancing is keeping space between people to reduce disease spread.",social distancing
What is hand hygiene?,"Hand hygiene means washing hands with soap and water or using sanitiser. It is one of the best ways to prevent infection.",hand hygiene
How do I wash my hands properly?,"Wet hands. Apply soap. Rub for at least 20 seconds. Cover all surfaces including between fingers and under nails. Rinse. Dry with a clean towel.",hand washing
What is a face mask?,"A face mask covers the nose and mouth to reduce the spread of germs. It is especially useful in crowded indoor spaces.",face mask
What is PPE?,"PPE (Personal Protective Equipment) is gear worn to protect against infection, like gloves, masks, and gowns.",ppe
What is sterilisation?,"Sterilisation is the process of killing all microorganisms on equipment. It is important in hospitals and clinics.",sterilisation
What is disinfection?,"Disinfection is killing most germs on surfaces. It is important for preventing infection.",disinfection
What is a wound dressing?,"A wound dressing is a covering for a wound to keep it clean and prevent infection.",wound dressing
What is a bandage?,"A bandage is a strip of material used to cover wounds, support injuries, or hold dressings in place.",bandage
What is a sling?,"A sling supports an injured arm. It is usually made from a triangle of cloth.",sling arm
What is a splint?,"A splint is a rigid support used to keep an injured limb still. It is used for fractures and sprains.",splint
What is a crutch?,"A crutch is a support used to help someone walk when they can't put weight on a leg.",crutch
What is a wheelchair?,"A wheelchair is a chair with wheels used by people who can't walk or have difficulty walking.",wheelchair
What is physiotherapy?,"Physiotherapy uses exercise and techniques to improve movement and reduce pain.",physiotherapy
What is hydrotherapy?,"Hydrotherapy is physiotherapy in water. The buoyancy helps reduce stress on joints.",hydrotherapy
What is a hearing aid?,"A hearing aid is a small device that amplifies sound for people with hearing loss.",hearing aid
What is a cochlear implant?,"A cochlear implant is a device that provides sound signals directly to the hearing nerve.",cochlear implant
What is a guide dog?,"A guide dog is a trained dog that helps a blind or visually impaired person.",guide dog
What is sign language?,"Sign language is a visual language using hand movements and facial expressions. It is used by deaf people.",sign language
What is braille?,"Braille is a system of raised dots that blind people read with their fingers.",braille
What is a prosthetic?,"A prosthetic is an artificial body part, like a limb or eye.",prosthetic
What is an orthotic?,"An orthotic is a device that supports or corrects a body part, like shoe insoles.",orthotic
What is a pacemaker?,"A pacemaker is a small device implanted in the chest to help control the heartbeat.",pacemaker
What is a stent?,"A stent is a small mesh tube placed in an artery to keep it open.",stent
What is a transplant?,"A transplant is when an organ or tissue is moved from one person to another. Common transplants include kidney, liver, and heart.",transplant
What is a blood transfusion?,"A blood transfusion is when blood is given to a patient through a vein. It is used to replace blood lost through injury or illness.",blood transfusion
What is dialysis?,"Dialysis is a treatment that filters waste from the blood when the kidneys fail. It is done several times a week.",dialysis kidney
What is a ventilator?,"A ventilator is a machine that helps a person breathe. It is used in serious illness or surgery.",ventilator
What is CPR?,"CPR (Cardiopulmonary Resuscitation) is a life-saving technique to restart breathing and heartbeat. Push hard and fast on the chest.",cpr
How do I perform CPR on an adult?,"Check for response. Call emergency services. Place hands in the centre of the chest. Push hard and fast at least 100-120 times per minute. Depth about 5-6 cm. Continue until help arrives.",cpr emergency
How do I perform CPR on a child?,"Give 5 rescue breaths then 30 chest compressions at a rate of 100-120 per minute. Continue 30:2 until help arrives.",cpr child emergency
How do I perform CPR on a baby?,"Give 5 rescue breaths then 30 chest compressions using two fingers at a rate of 100-120 per minute. Continue until help arrives.",cpr baby emergency
What is the recovery position?,"The recovery position is used for someone who is unconscious but breathing. Lay them on their side with one arm forward and their head tilted back slightly to keep the airway open.",recovery position unconscious
What is the Heimlich maneuver?,"The Heimlich maneuver is a first-aid technique for choking. Stand behind the person, make a fist above the navel, and thrust inward and upward.",heimlich choking
What should I do for a choking adult?,"Ask if they can speak. If not, perform the Heimlich maneuver: stand behind them, make a fist above the navel, and thrust inward and upward. If unconscious, start CPR and call emergency services.",choking emergency
What should I do for a choking baby?,"Lay the baby face down on your forearm. Give 5 back blows between the shoulder blades. Turn over and give 5 chest thrusts. Repeat until the object comes out. Call emergency services.",choking baby emergency
What should I do for someone who is choking and pregnant?,"Use chest thrusts instead of abdominal thrusts. Stand behind them, put your arms under their armpits, and thrust the lower chest. Call emergency services if needed.",choking pregnant
What should I do for a snake bite?,"Keep the person calm and still. Do not cut or suck the wound. Do not apply a tourniquet. Keep the bitten limb below heart level. Get medical help immediately.",snake bite emergency
What should I do for a dog bite?,"Wash the wound with soap and water. Apply pressure to stop bleeding. Cover with a clean dressing. See a doctor — you may need antibiotics or a tetanus shot.",dog bite wound
What should I do for a bee sting?,"Remove the stinger by scraping it sideways. Wash the area. Apply a cold pack. Take an antihistamine if needed. Seek emergency help if there's swelling of the face or difficulty breathing.",bee sting
What should I do for a tick bite?,"Remove the tick with fine tweezers close to the skin. Pull straight up gently. Do not squeeze the body. Clean the area. Watch for a rash or fever in the next 1-2 weeks.",tick bite
What should I do for a fever in a child?,"Give paracetamol or ibuprofen for children (dose by weight). Keep them hydrated. Dress them lightly. Seek medical help if the child is under 3 months, has a fever above 39°C, is inconsolable, or has a rash.",fever child baby
What should I do for a child with diarrhoea?,"Give oral rehydration salts. Continue breastfeeding. Avoid sugary drinks. See a doctor if there is blood in the stool or signs of dehydration.",diarrhoea child
What should I do for ear pain?,"Apply a warm compress. Take pain relievers. Do not put anything in the ear. See a doctor if there's discharge, hearing loss, or the pain is severe.",ear pain
What should I do for a toothache?,"Rinse with warm salt water. Apply a cold pack. Take pain relievers. See a dentist as soon as possible.",toothache dental
What should I do for a backache?,"Rest but avoid bed rest for more than 2 days. Apply heat or cold. Take pain relievers. Gentle stretching helps. See a doctor if pain is severe or lasts more than 6 weeks.",backache back pain
What should I do for a sprained ankle?,"Rest. Ice for 15-20 minutes every 2-3 hours. Compress with a bandage. Elevate above heart level. See a doctor if you can't bear weight.",sprain ankle
What should I do for a knocked-out tooth?,"Handle the tooth by the crown, not the root. Rinse gently with milk or saline. Try to place it back in the socket. If you can't, keep it in milk or saliva and see a dentist immediately.",tooth dental emergency
What should I do for something stuck in the eye?,"Do not rub the eye. Try to blink or flush with clean water. If the object doesn't come out, cover the eye and see a doctor. Do not try to remove an object embedded in the eye.",eye object
What should I do for an insect in the ear?,"Tilt the head to the affected side. If it's a live insect, pour a small amount of warm oil or water in the ear to float it out. Do not use cotton buds. See a doctor if it doesn't come out.",insect ear
What should I do for a panic attack?,"Stay calm. Breathe slowly and deeply. Remind the person they are safe. Stay with them. Do not crowd them. Symptoms usually pass within 10-20 minutes.",panic attack anxiety
What should I do for heat exhaustion?,"Move to a cool place. Lie down and elevate the feet. Drink cool water or a sports drink. Apply cool compresses. If symptoms don't improve in 30 minutes, seek medical help.",heat exhaustion
What should I do for heat stroke?,"This is a medical emergency. Call emergency services. Move the person to a cool place. Remove excess clothing. Apply cool water and fan them. Do not give fluids if they are confused.",heat stroke emergency
What should I do for hypothermia?,"Move to a warm place. Remove wet clothing. Wrap in blankets. Give warm drinks if conscious. Handle gently. Seek emergency help if confused or unconscious.",hypothermia cold
What should I do for an overdose?,"Call emergency services immediately. Do not try to make them vomit. Keep them awake if possible. Note what was taken and how much. Bring any containers or packaging.",overdose poison emergency
What should I do for someone who is suicidal?,"Take it seriously. Stay with them. Listen without judgement. Remove any dangerous items. Call a crisis line or emergency services. Do not leave them alone.",suicide mental crisis
What should I do for someone who fainted?,"Lay them flat and raise the legs. Loosen tight clothing. Ensure fresh air. When they wake up, give them water. If they don't wake up, call emergency services.",faint fainting
What should I do for someone having a diabetic emergency?,"If conscious, give sugar or a sweet drink. If unconscious, do NOT give anything by mouth. Call emergency services. Monitor breathing.",diabetic emergency sugar
What is a sexually transmitted infection?,"An STI is an infection passed through sexual contact. Common ones include chlamydia, gonorrhoea, syphilis, and HIV. Many are curable with treatment.",sti std sexual
How do I prevent STIs?,"Use condoms. Get tested regularly. Limit sexual partners. Get vaccinated against HPV and hepatitis B. Talk openly with partners.",sti std prevent
What is chlamydia?,"Chlamydia is a common STI. Many people have no symptoms. When they do, they include discharge and burning when urinating. It is easily treated with antibiotics.",chlamydia sti
What is gonorrhoea?,"Gonorrhoea is a bacterial STI. Symptoms include discharge and painful urination. It is treated with antibiotics. Untreated, it can cause serious complications.",gonorrhoea sti
What is syphilis?,"Syphilis is a bacterial STI. It starts with a painless sore then progresses through stages. It is curable with penicillin. Early treatment is important.",syphilis sti
What is genital herpes?,"Genital herpes is a viral STI. It causes painful blisters or sores. It is not curable but can be managed with medication.",herpes sti
What is hepatitis B?,"Hepatitis B is a viral infection of the liver. It spreads through blood and body fluids. A vaccine exists. Chronic infection can lead to liver damage.",hepatitis b liver
What is hepatitis C?,"Hepatitis C is a viral infection of the liver. It spreads mainly through blood. Modern treatment can cure it in most people.",hepatitis c liver
What is cirrhosis?,"Cirrhosis is scarring of the liver. It is often caused by long-term alcohol use, hepatitis, or fatty liver disease.",cirrhosis liver
What is fatty liver disease?,"Fatty liver disease is when fat builds up in the liver. It is often linked to obesity, diabetes, and alcohol use.",fatty liver
What is a hangover?,"A hangover is the after-effect of drinking too much alcohol. Symptoms include headache, nausea, and fatigue. Drink water and rest.",hangover
What is alcohol poisoning?,"Alcohol poisoning is a serious and sometimes fatal condition. Symptoms include confusion, vomiting, slow breathing, and low body temperature. Call emergency services.",alcohol poisoning
What is drug addiction?,"Drug addiction is a chronic disease where a person can't stop using drugs despite harm. Treatment includes therapy, medication, and support groups.",addiction drug
What is smoking?,"Smoking is inhaling tobacco smoke. It causes cancer, heart disease, and lung disease. Quitting at any age improves health.",smoking
How do I quit smoking?,"Set a quit date. Use nicotine patches or gum. Avoid triggers. Get support from friends or a quit program. Talk to a doctor about medication.",quit smoking
What is passive smoking?,"Passive smoking is breathing in someone else's smoke. It also causes health problems, especially in children.",passive smoking
What is vaping?,"Vaping is using an e-cigarette. It is less harmful than smoking but not risk-free. It is not recommended for non-smokers.",vaping
What is alcohol?,"Alcohol is a depressant drug. Moderate drinking may be safe for some adults, but heavy drinking causes health problems.",alcohol
How much alcohol is safe?,"There is no completely safe level of alcohol. If you drink, keep it to no more than 1-2 drinks per day and avoid binge drinking.",alcohol safe
What is a calorie?,"A calorie is a unit of energy in food. The average adult needs 1800-2500 calories a day, depending on age, sex, and activity.",calorie
What is protein?,"Protein is a nutrient that builds and repairs tissues. Good sources include meat, fish, eggs, beans, and nuts.",protein
What is a carbohydrate?,"Carbohydrates are the body's main source of energy. They are found in grains, fruits, vegetables, and sugar.",carbohydrate carbs
What is fat?,"Fat is a nutrient that provides energy and helps absorb vitamins. Healthy fats come from olive oil, nuts, and fish. Limit saturated and trans fats.",fat
What is fibre?,"Fibre is the part of plant food that isn't digested. It helps with digestion and prevents constipation. Good sources include fruits, vegetables, and whole grains.",fibre fiber
What is sugar?,"Sugar is a simple carbohydrate. Too much added sugar can cause weight gain, diabetes, and tooth decay. Limit sugary drinks and snacks.",sugar
What is salt?,"Salt (sodium) is a mineral. Too much salt raises blood pressure. Aim for less than 5g of salt a day.",salt sodium
What is a food label?,"A food label shows nutritional information like calories, fat, sugar, and salt. Use it to make healthier choices.",food label
What is a balanced diet?,"A balanced diet includes a variety of foods from all food groups: fruits, vegetables, grains, protein, and dairy.",balanced diet
What is a vegetarian diet?,"A vegetarian diet excludes meat but includes plant foods, dairy, and eggs. It can be healthy with planning.",vegetarian
What is a vegan diet?,"A vegan diet excludes all animal products. It needs careful planning to get enough B12, iron, and calcium.",vegan
What is fasting?,"Fasting is not eating for a period. It can be for religious, health, or medical reasons. Some fasts need medical supervision.",fasting
What is Ramadan?,"Ramadan is a month of fasting in Islam. Muslims don't eat or drink from dawn to sunset. People with health conditions may be exempt.",ramadan
What is a detox?,"A detox is a diet or program claimed to remove toxins from the body. Most are not scientifically proven.",detox
What is a superfood?,"A superfood is a food claimed to have exceptional health benefits. The term is more marketing than science.",superfood
What is organic food?,"Organic food is grown without synthetic pesticides or fertilisers. It is not necessarily more nutritious than regular food.",organic
What is GMO food?,"GMO food is genetically modified. There is scientific consensus that approved GMOs are safe to eat.",gmo
What is food safety?,"Food safety is handling, preparing, and storing food to prevent illness. Wash hands, cook food thoroughly, and refrigerate leftovers.",food safety
How do I store food safely?,"Keep cold food below 5°C. Keep hot food above 60°C. Refrigerate leftovers within 2 hours. Don't eat food that smells or looks off.",food storage
How long can I keep leftovers?,"Most leftovers are safe for 3-4 days in the fridge. Reheat thoroughly before eating.",leftovers
What is a use-by date?,"A use-by date is the last day food is safe to eat. Do not eat food after its use-by date.",use by date
What is a best-before date?,"A best-before date is about quality, not safety. Food may still be safe after this date.",best before date
What is a food allergy?,"A food allergy is when the body reacts badly to certain foods like peanuts, shellfish, or milk. Symptoms include hives, swelling, difficulty breathing, and stomach upset. It can be life-threatening.",allergy food
How do I treat a food allergy reaction?,"Avoid the trigger food. Use antihistamines for mild reactions. Use an epinephrine auto-injector for severe reactions and call emergency services.",allergy food treat
What is lactose intolerance?,"Lactose intolerance is when the body can't digest lactose (milk sugar). Symptoms include bloating, gas, and diarrhoea.",lactose
What is coeliac disease?,"Coeliac disease is an autoimmune reaction to gluten. It damages the small intestine. Treatment is a strict gluten-free diet.",coeliac celiac gluten
What is gluten?,"Gluten is a protein found in wheat, barley, and rye. Some people need to avoid it for medical reasons.",gluten
What is diabetes insipidus?,"Diabetes insipidus is a rare condition where the body produces too much urine. It is not related to diabetes mellitus.",diabetes insipidus
What is thyroid disease?,"Thyroid disease affects the thyroid gland. Hypothyroidism causes fatigue and weight gain. Hyperthyroidism causes weight loss and rapid heartbeat.",thyroid
What is a goitre?,"A goitre is an enlarged thyroid gland. It can be caused by iodine deficiency or other conditions.",goitre
What is iodine?,"Iodine is a mineral needed for thyroid function. It is found in seafood, dairy, and iodised salt.",iodine
What is a hormone?,"A hormone is a chemical messenger in the body. It controls many functions like growth, metabolism, and mood.",hormone
What is cortisol?,"Cortisol is a stress hormone. It helps the body respond to stress. Too much or too little causes health problems.",cortisol
What is insulin?,"Insulin is a hormone that controls blood sugar. People with type 1 diabetes need insulin injections.",insulin
What is adrenaline?,"Adrenaline is a hormone that prepares the body for 'fight or flight'. It increases heart rate and energy.",adrenaline
What is testosterone?,"Testosterone is the main male sex hormone. It affects muscle, mood, and sex drive.",testosterone
What is oestrogen?,"Oestrogen is the main female sex hormone. It affects the menstrual cycle, bones, and mood.",oestrogen estrogen
What is menopause?,"Menopause is when a woman stops having periods, usually between 45 and 55. Symptoms include hot flushes, mood changes, and sleep problems.",menopause
What is a period?,"A period (menstruation) is the monthly bleeding from the uterus. It usually lasts 3-7 days.",period menstruation
What is PMS?,"PMS (Premenstrual Syndrome) is symptoms before a period, like mood swings, bloating, and breast tenderness.",pms
What is endometriosis?,"Endometriosis is when tissue like the uterus lining grows outside the uterus. It causes pain and can affect fertility.",endometriosis
What is PCOS?,"PCOS (Polycystic Ovary Syndrome) is a hormonal condition in women. Symptoms include irregular periods, acne, and weight gain.",pcos
What is a pregnancy test?,"A pregnancy test checks for the hormone hCG in urine or blood. It can be done at home or by a doctor.",pregnancy test
How do I know if I'm pregnant?,"Common signs include a missed period, nausea, breast tenderness, and fatigue. Take a pregnancy test or see a doctor.",pregnancy
What should I eat during pregnancy?,"Eat a balanced diet with plenty of fruits, vegetables, and whole grains. Take folic acid. Avoid alcohol, raw meat, and unpasteurised dairy.",pregnancy diet
What is prenatal care?,"Prenatal care is medical care during pregnancy. It includes regular check-ups, tests, and advice.",prenatal
What is labour?,"Labour is the process of giving birth. It starts with contractions and ends with delivery of the baby.",labour labor
What is a caesarean?,"A caesarean is when a baby is delivered by surgery. It is done when vaginal birth is not safe.",caesarean c-section
What is a miscarriage?,"A miscarriage is the loss of a pregnancy before 20 weeks. It is common and usually not the mother's fault.",miscarriage
What is an ectopic pregnancy?,"An ectopic pregnancy is when the embryo implants outside the uterus. It is dangerous and needs urgent treatment.",ectopic
What is infertility?,"Infertility is not being able to get pregnant after 1 year of trying. It can affect men and women.",infertility
What is IVF?,"IVF (In Vitro Fertilisation) is a fertility treatment where eggs are fertilised outside the body then implanted.",ivf
What is contraception?,"Contraception is preventing pregnancy. Options include condoms, pills, injections, implants, and IUDs.",contraception birth control
What is the pill?,"The pill is a hormonal contraceptive taken daily. It is very effective when used correctly.",pill contraception
What is an IUD?,"An IUD is a small device placed in the uterus to prevent pregnancy. It can last 3-10 years.",iud
What is a condom?,"A condom is a barrier contraceptive. It also protects against STIs. Use a new one every time.",condom
What is emergency contraception?,"Emergency contraception (the morning-after pill) prevents pregnancy after unprotected sex. It works best if taken within 72 hours.",emergency contraception
What is sterilisation?,"Sterilisation is a permanent form of contraception. For women, it is tubal ligation. For men, it is a vasectomy.",sterilisation
What is a vasectomy?,"A vasectomy is a permanent male sterilisation. It is a minor procedure that blocks sperm from leaving the body.",vasectomy
What is a tubal ligation?,"A tubal ligation is permanent female sterilisation. It blocks the fallopian tubes.",tubal ligation
What is breastfeeding?,"Breastfeeding provides babies with ideal nutrition and antibodies. It is recommended exclusively for the first 6 months.",breastfeeding
What is weaning?,"Weaning is the process of introducing solid foods and reducing milk feeds. It usually starts around 6 months.",weaning
What is a growth chart?,"A growth chart tracks a child's height, weight, and head size over time. It helps detect growth problems.",growth chart
What is a milestone?,"A milestone is a skill a child is expected to develop by a certain age, like walking or talking.",milestone
What is immunisation schedule?,"The immunisation schedule lists the vaccines a child should get and when. Follow your country's schedule.",immunisation schedule
What is a newborn screening?,"Newborn screening is a set of tests done on a newborn to check for certain conditions.",newborn screening
What is a paediatrician?,"A paediatrician is a doctor who specialises in children's health.",paediatrician
What is an obstetrician?,"An obstetrician is a doctor who specialises in pregnancy and childbirth.",obstetrician
What is a gynaecologist?,"A gynaecologist is a doctor who specialises in women's reproductive health.",gynaecologist
What is a dermatologist?,"A dermatologist is a doctor who specialises in skin, hair, and nails.",dermatologist
What is a cardiologist?,"A cardiologist is a doctor who specialises in the heart.",cardiologist
What is a neurologist?,"A neurologist is a doctor who specialises in the brain and nerves.",neurologist
What is a psychiatrist?,"A psychiatrist is a doctor who specialises in mental health.",psychiatrist
What is a psychologist?,"A psychologist is a professional who studies behaviour and mental processes. They often provide therapy.",psychologist
What is a dentist?,"A dentist is a professional who cares for teeth and gums.",dentist
What is an optometrist?,"An optometrist is a professional who tests vision and prescribes glasses.",optometrist
What is an optician?,"An optician is a professional who makes and fits glasses and contact lenses.",optician
What is an audiologist?,"An audiologist is a professional who tests hearing and fits hearing aids.",audiologist
What is a pharmacist?,"A pharmacist is a professional who dispenses medicines and gives advice on their use.",pharmacist
What is a physiotherapist?,"A physiotherapist is a professional who helps people improve movement and manage pain.",physiotherapist
What is a dietitian?,"A dietitian is a professional who gives advice on nutrition and diet.",dietitian
What is a nutritionist?,"A nutritionist is a professional who advises on food and health. Regulation varies by country.",nutritionist
What is a social worker?,"A social worker is a professional who helps people with personal and social problems.",social worker
What is a home carer?,"A home carer is someone who helps people with daily tasks in their own home.",home carer
What is palliative care?,"Palliative care is care for people with serious illness. It focuses on comfort and quality of life.",palliative
What is hospice?,"Hospice is care for people at the end of life. It focuses on comfort, not cure.",hospice
What is euthanasia?,"Euthanasia is intentionally ending a life to relieve suffering. It is illegal in most countries.",euthanasia
What is a living will?,"A living will states your wishes for medical care if you can't speak for yourself.",living will
What is an advance directive?,"An advance directive is a legal document about your medical wishes if you become unable to decide.",advance directive
What is informed consent?,"Informed consent is when a patient agrees to treatment after understanding the risks and benefits.",informed consent
What is patient confidentiality?,"Patient confidentiality is the duty of healthcare workers to keep patient information private.",confidentiality
What is medical ethics?,"Medical ethics is the study of moral issues in healthcare. It covers consent, confidentiality, and end-of-life care.",ethics
What is a clinical trial?,"A clinical trial is a research study to test new treatments. Participants are volunteers.",clinical trial
What is a placebo?,"A placebo is a fake treatment used in clinical trials. It helps researchers measure the real effect of a treatment.",placebo
What is a double-blind study?,"A double-blind study is when neither the participants nor the researchers know who gets the real treatment.",double blind
What is evidence-based medicine?,"Evidence-based medicine is using the best available research to guide medical decisions.",evidence based
What is a systematic review?,"A systematic review is a summary of all research on a specific question.",systematic review
What is a meta-analysis?,"A meta-analysis combines results from many studies to get a stronger conclusion.",meta analysis
What is a randomised controlled trial?,"An RCT is a study where participants are randomly assigned to different treatments. It is the gold standard for testing.",rct
What is peer review?,"Peer review is when experts check research before it is published.",peer review
What is a preprint?,"A preprint is a research paper shared before peer review.",preprint
What is a retraction?,"A retraction is when a published paper is withdrawn because of errors or misconduct.",retraction
What is a pandemic?,"A pandemic is a global outbreak of a disease. COVID-19 is a recent example.",pandemic
What is an epidemic?,"An epidemic is a rapid spread of a disease in a specific area.",epidemic
What is a zoonotic disease?,"A zoonotic disease spreads from animals to humans. Examples include rabies and COVID-19.",zoonotic
What is a vector?,"A vector is an organism that spreads disease, like a mosquito spreading malaria.",vector
What is an incubation period?,"The incubation period is the time between exposure to a germ and the start of symptoms.",incubation
What is a carrier?,"A carrier is someone who has a disease but doesn't show symptoms and can spread it to others.",carrier
What is an asymptomatic case?,"An asymptomatic case is someone who has a disease but no symptoms. They can still spread it.",asymptomatic
What is a super spreader?,"A super spreader is someone who infects many other people.",super spreader
What is R0?,"R0 (R-naught) is the average number of people one infected person will infect in a susceptible population.",r0
What is herd immunity?,"Herd immunity is when enough people are immune to a disease to protect those who can't be vaccinated.",herd immunity
What is a variant?,"A variant is a version of a virus with genetic changes. Some variants spread more easily.",variant
What is a mutation?,"A mutation is a change in the genetic material of a virus or cell.",mutation
What is a PCR test?,"A PCR test detects genetic material from a virus. It is very accurate but takes longer.",pcr test
What is a rapid test?,"A rapid test gives results in minutes. It is less accurate than a PCR test but faster.",rapid test
What is an antibody test?,"An antibody test checks if you have had an infection in the past.",antibody test
What is a swab test?,"A swab test collects a sample from the nose or throat to test for infection.",swab test
What is contact tracing?,"Contact tracing is finding people who may have been in contact with an infected person.",contact tracing
What is a lockdown?,"A lockdown is when people are required to stay home to slow the spread of disease.",lockdown
What is a curfew?,"A curfew is a rule that people must stay indoors during certain hours.",curfew
What is a state of emergency?,"A state of emergency is when a government takes special powers during a crisis.",state of emergency
What is the WHO?,"The WHO (World Health Organization) is a UN agency that coordinates international public health.",who
What is the CDC?,"The CDC (Centers for Disease Control and Prevention) is a US agency that protects public health.",cdc
What is the NICD?,"The NICD (National Institute for Communicable Diseases) is a South African public health institute.",nicd
What is the Department of Health?,"The Department of Health is the government department responsible for health services in South Africa.",department of health
What is a medical aid?,"A medical aid is private health insurance in South Africa. It covers private healthcare costs.",medical aid
What is NHI?,"NHI (National Health Insurance) is a proposed South African system to provide universal healthcare.",nhi
What is a public clinic?,"A public clinic is a government-funded health facility. Services are free or low-cost.",public clinic
What is a private hospital?,"A private hospital is a for-profit health facility. It usually requires medical aid or cash payment.",private hospital
What is an emergency room?,"An emergency room (ER) is a hospital department for serious, life-threatening conditions.",emergency room
What is a trauma centre?,"A trauma centre is a hospital equipped to handle serious injuries.",trauma centre
What is an ambulance?,"An ambulance is a vehicle that takes sick or injured people to hospital. In South Africa, call 10177.",ambulance
