Clinic_ID,Clinic_Name,Province,City,Clinic_Type,Latitude,Longitude,Phone,Operating_Hours,Services,Treatable_Conditions,Has_Pharmacy,Wheelchair_Access,Emergency_Services
90,Lebowakgomo Health Facility,Limpopo,Lebowakgomo,Health Centre,-22.240101,29.768483,010 518 9652,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
91,Lebowakgomo Health Facility,Limpopo,Lebowakgomo,Health Centre,-24.87395,28.162951,010 407 8847,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
92,Lebowakgomo Specialist Clinic,Limpopo,Lebowakgomo,Specialist Clinic,-23.835806,29.578835,011 640 3766,24 Hours Emergency Services Available,"Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,Yes
93,Nelspruit Primary Care Clinic,Mpumalanga,Nelspruit,Primary Care Clinic,-25.806209,28.500321,010 462 9374,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,Yes
94,Nelspruit Medical Centre,Mpumalanga,Nelspruit,Community Health Centre,-24.354986,28.634326,012 116 7262,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
95,Nelspruit Health Facility,Mpumalanga,Nelspruit,Primary Care Clinic,-24.882948,29.708195,010 920 4191,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
96,Witbank Health Facility,Mpumalanga,Witbank,Community Health Centre,-26.089855,30.221623,010 223 6579,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Limited,No
97,Witbank Regional Clinic,Mpumalanga,Witbank,Primary Care Clinic,-24.55177,28.597472,011 497 7242,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
98,Witbank Medical Centre,Mpumalanga,Witbank,Health Centre,-26.068989,29.699759,010 522 5668,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
99,Witbank Health Facility,Mpumalanga,Witbank,Health Centre,-24.315214,28.165184,010 236 5852,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
100,Witbank Regional Clinic,Mpumalanga,Witbank,Specialist Clinic,-26.138174,28.980777,012 443 9310,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
101,Standerton Medical Centre,Mpumalanga,Standerton,Health Centre,-25.591561,28.701201,011 122 9978,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Limited,No
102,Standerton Regional Clinic,Mpumalanga,Standerton,Specialist Clinic,-26.268469,30.295413,011 454 1877,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
103,Standerton District Hospital,Mpumalanga,Standerton,District Hospital,-26.434945,29.070011,011 371 5477,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Limited,Yes
104,Standerton Medical Centre,Mpumalanga,Standerton,Community Health Centre,-26.910186,29.332439,011 862 3644,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Limited,Yes
105,Standerton Health Facility,Mpumalanga,Standerton,Primary Care Clinic,-26.871582,30.641915,010 191 2320,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",No,Limited,No
106,Secunda Community Health Centre,Mpumalanga,Secunda,Community Health Centre,-24.04884,29.003859,012 652 1706,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,Yes
107,Secunda Regional Clinic,Mpumalanga,Secunda,Specialist Clinic,-24.728357,28.881393,012 341 1091,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
108,Secunda Health Facility,Mpumalanga,Secunda,Community Health Centre,-26.356336,28.030523,010 389 8410,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,No
109,Secunda Community Health Centre,Mpumalanga,Secunda,Community Health Centre,-24.445273,28.77149,010 500 8206,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,Yes
110,Mahikeng Regional Clinic,North West,Mahikeng,Health Centre,-25.003768,24.486416,010 177 5383,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,Yes
111,Mahikeng Specialist Clinic,North West,Mahikeng,Specialist Clinic,-27.323634,24.373857,010 262 5789,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Limited,No
112,Mahikeng Health Facility,North West,Mahikeng,Specialist Clinic,-25.777126,26.451986,011 674 7084,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Limited,No
113,Mahikeng Specialist Clinic,North West,Mahikeng,Specialist Clinic,-26.29735,26.367835,010 130 2561,24 Hours Emergency Services Available,"Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,Yes
114,Rustenburg District Hospital,North West,Rustenburg,District Hospital,-25.002722,25.275859,010 646 3903,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Limited,Yes
115,Rustenburg Health Facility,North West,Rustenburg,District Hospital,-26.040158,25.327072,012 497 1881,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
116,Rustenburg Regional Clinic,North West,Rustenburg,Community Health Centre,-26.187285,26.973381,011 427 3762,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
117,Potchefstroom Medical Centre,North West,Potchefstroom,Specialist Clinic,-27.002354,25.762102,012 610 8104,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Limited,No
118,Potchefstroom Medical Centre,North West,Potchefstroom,Primary Care Clinic,-27.439829,25.537451,011 283 6580,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,Yes
119,Potchefstroom Health Facility,North West,Potchefstroom,District Hospital,-25.864166,24.003365,010 832 4790,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
120,Potchefstroom Health Facility,North West,Potchefstroom,Specialist Clinic,-25.244093,26.293992,012 346 2556,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Yes,No
121,Potchefstroom Primary Care Clinic,North West,Potchefstroom,Primary Care Clinic,-26.784776,25.862195,011 710 4474,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,No
122,Klerksdorp Community Health Centre,North West,Klerksdorp,Community Health Centre,-26.907813,24.918419,012 846 2363,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
123,Klerksdorp Health Centre,North West,Klerksdorp,Health Centre,-26.458981,26.949052,012 630 3386,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
124,Klerksdorp Medical Centre,North West,Klerksdorp,District Hospital,-27.735525,24.057549,010 173 2113,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
125,Klerksdorp Medical Centre,North West,Klerksdorp,Community Health Centre,-25.100513,24.909959,011 701 5909,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
126,Klerksdorp Regional Clinic,North West,Klerksdorp,Community Health Centre,-26.811843,26.171307,012 817 3824,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
127,Bloemfontein Regional Clinic,Free State,Bloemfontein,Specialist Clinic,-28.587483,26.047285,012 902 3287,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
128,Bloemfontein Medical Centre,Free State,Bloemfontein,Primary Care Clinic,-28.404441,27.178168,010 126 6047,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",No,Yes,No
129,Bloemfontein District Hospital,Free State,Bloemfontein,District Hospital,-29.400559,25.702932,012 398 3218,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
130,Bloemfontein Community Health Centre,Free State,Bloemfontein,Community Health Centre,-27.609062,27.439807,012 302 1727,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,No
131,Bloemfontein Regional Clinic,Free State,Bloemfontein,District Hospital,-27.344574,26.387665,012 714 3267,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
132,Welkom Medical Centre,Free State,Welkom,Primary Care Clinic,-29.728089,26.115243,012 567 6737,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
133,Welkom Medical Centre,Free State,Welkom,Community Health Centre,-28.482214,27.067645,010 329 2486,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
134,Welkom Health Facility,Free State,Welkom,District Hospital,-28.714271,27.362515,011 591 8477,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
135,Bethlehem Regional Clinic,Free State,Bethlehem,District Hospital,-29.338594,27.912381,010 639 1885,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Yes,Yes
136,Bethlehem Medical Centre,Free State,Bethlehem,Health Centre,-28.118746,26.271222,011 491 1068,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,Yes
137,Bethlehem Health Facility,Free State,Bethlehem,Primary Care Clinic,-28.510534,27.538217,012 894 4259,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",No,Yes,No
138,Bethlehem Specialist Clinic,Free State,Bethlehem,Specialist Clinic,-29.022791,26.2283,011 334 8518,24 Hours Emergency Services Available,"Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,Yes
139,Kroonstad Medical Centre,Free State,Kroonstad,Community Health Centre,-28.082838,27.449129,011 462 2898,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,Yes
140,Kroonstad Regional Clinic,Free State,Kroonstad,Health Centre,-28.16721,26.589963,011 131 9761,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
141,Kroonstad Specialist Clinic,Free State,Kroonstad,Specialist Clinic,-28.860493,27.716816,011 212 7331,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
142,Kroonstad Health Facility,Free State,Kroonstad,District Hospital,-29.569507,26.445574,012 168 6001,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Limited,Yes
143,Kroonstad Health Facility,Free State,Kroonstad,Community Health Centre,-28.166429,27.10945,010 161 9987,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
144,Kimberley Medical Centre,Northern Cape,Kimberley,Health Centre,-31.020549,21.092878,012 248 9963,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
145,Kimberley Specialist Clinic,Northern Cape,Kimberley,Specialist Clinic,-30.199465,21.925036,010 785 2089,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
146,Kimberley Medical Centre,Northern Cape,Kimberley,District Hospital,-29.081974,21.900618,011 311 9393,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
147,Kimberley Regional Clinic,Northern Cape,Kimberley,Health Centre,-28.625767,21.626322,010 745 4432,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
148,Kimberley Health Facility,Northern Cape,Kimberley,District Hospital,-28.57382,24.970897,010 695 5922,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Yes,Yes
149,Upington Medical Centre,Northern Cape,Upington,Specialist Clinic,-30.538791,21.038585,012 410 2874,24 Hours Emergency Services Available,"Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,Yes
150,Upington Regional Clinic,Northern Cape,Upington,Primary Care Clinic,-28.426478,20.684085,012 708 1023,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
151,Upington Health Facility,Northern Cape,Upington,Primary Care Clinic,-31.918281,23.598671,012 103 2613,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,No
152,Upington Medical Centre,Northern Cape,Upington,District Hospital,-29.453988,22.414998,010 314 8379,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
153,Springbok Medical Centre,Northern Cape,Springbok,District Hospital,-31.259738,24.833669,011 161 6541,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
154,Springbok Specialist Clinic,Northern Cape,Springbok,Specialist Clinic,-29.525534,20.808957,011 954 5409,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
155,Springbok Medical Centre,Northern Cape,Springbok,Primary Care Clinic,-28.785227,24.001899,010 682 5516,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",No,Limited,No
156,Springbok Health Facility,Northern Cape,Springbok,District Hospital,-28.179894,20.336818,010 595 4792,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
157,Springbok Medical Centre,Northern Cape,Springbok,Primary Care Clinic,-31.323559,24.310741,011 811 9010,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
158,De Aar Health Facility,Northern Cape,De Aar,District Hospital,-30.886195,20.382051,011 433 4155,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Yes,Yes
159,De Aar Regional Clinic,Northern Cape,De Aar,Health Centre,-28.454209,23.482879,012 357 8371,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
160,De Aar Medical Centre,Northern Cape,De Aar,District Hospital,-29.155182,20.141143,011 529 3737,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
161,De Aar Regional Clinic,Northern Cape,De Aar,Community Health Centre,-30.775249,21.97219,011 269 9902,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
162,De Aar Specialist Clinic,Northern Cape,De Aar,Specialist Clinic,-28.476102,24.890754,010 580 6205,24 Hours Emergency Services Available,"Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Limited,Yes
