Clinic_Name,Province,District,City,Area,Phone,Phone_Status,Clinic_Type,Services,Latitude,Longitude,Geocode_Status
Mthatha General Clinic,Eastern Cape,OR Tambo,Mthatha,CBD,047 502 4000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ngangelizwe Clinic,Eastern Cape,OR Tambo,Mthatha,Ngangelizwe,047 531 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Maluti CHC,Eastern Cape,Alfred Nzo,Maluti,Maluti,,to_verify,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Matatiele Clinic,Eastern Cape,Alfred Nzo,Matatiele,Matatiele,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mount Ayliff Clinic,Eastern Cape,Alfred Nzo,Mount Ayliff,Mount Ayliff,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mount Frere Clinic,Eastern Cape,Alfred Nzo,Mount Frere,Mount Frere,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Tabankulu CHC,Eastern Cape,Alfred Nzo,Tabankulu,Tabankulu,,to_verify,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bizana Clinic,Eastern Cape,Alfred Nzo,Bizana,Bizana,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dimbaza CHC,Eastern Cape,Buffalo City,Dimbaza,Dimbaza,,to_verify,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
East London Clinic,Eastern Cape,Buffalo City,East London,CBD,043 708 1111,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mdantsane CHC,Eastern Cape,Buffalo City,East London,Mdantsane,043 761 2000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Gonubie Clinic,Eastern Cape,Buffalo City,East London,Gonubie,043 740 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bhisho Clinic,Eastern Cape,Buffalo City,Bhisho,Bhisho,040 635 2500,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
King William's Town Clinic,Eastern Cape,Buffalo City,King William's Town,CBD,043 642 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Queenstown Clinic,Eastern Cape,Chris Hani,Komani,CBD,045 808 3000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Cofimvaba Clinic,Eastern Cape,Chris Hani,Cofimvaba,Cofimvaba,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Engcobo Clinic,Eastern Cape,Chris Hani,Engcobo,Engcobo,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Cradock Clinic,Eastern Cape,Chris Hani,Cradock,Cradock,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Somerset East Clinic,Eastern Cape,Sarah Baartman,Somerset East,Somerset East,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Graaff-Reinet Clinic,Eastern Cape,Sarah Baartman,Graaff-Reinet,CBD,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Humansdorp Clinic,Eastern Cape,Sarah Baartman,Humansdorp,Humansdorp,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Jeffreys Bay Clinic,Eastern Cape,Sarah Baartman,Jeffreys Bay,CBD,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Kouga Clinic,Eastern Cape,Sarah Baartman,Kouga,Kouga,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Uitenhage Clinic,Eastern Cape,Nelson Mandela Bay,Kariega,CBD,041 994 1111,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Despatch Clinic,Eastern Cape,Nelson Mandela Bay,Despatch,Despatch,041 933 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Hankey Clinic,Eastern Cape,Sarah Baartman,Hankey,Hankey,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Patensie Clinic,Eastern Cape,Sarah Baartman,Patensie,Patensie,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Steytlerville Clinic,Eastern Cape,Sarah Baartman,Steytlerville,Steytlerville,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Willowmore Clinic,Eastern Cape,Sarah Baartman,Willowmore,Willowmore,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Jansenville Clinic,Eastern Cape,Sarah Baartman,Jansenville,Jansenville,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Kirkwood Clinic,Eastern Cape,Sarah Baartman,Kirkwood,Kirkwood,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Adelaide Clinic,Eastern Cape,Amathole,Adelaide,Adelaide,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Fort Beaufort Clinic,Eastern Cape,Amathole,Fort Beaufort,Fort Beaufort,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Alice Clinic,Eastern Cape,Amathole,Alice,Alice,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Stutterheim Clinic,Eastern Cape,Amathole,Stutterheim,Stutterheim,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Butterworth Clinic,Eastern Cape,Amathole,Butterworth,Butterworth,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ngqamakhwe Clinic,Eastern Cape,Amathole,Ngqamakhwe,Ngqamakhwe,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dutywa Clinic,Eastern Cape,Amathole,Dutywa,Dutywa,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Centane Clinic,Eastern Cape,Amathole,Centane,Centane,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Willowvale Clinic,Eastern Cape,Amathole,Willowvale,Willowvale,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Peddie Clinic,Eastern Cape,Amathole,Peddie,Peddie,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Alexandria Clinic,Eastern Cape,Sarah Baartman,Alexandria,Alexandria,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Heidedal CHC,Free State,Mangaung,Bloemfontein,Heidedal,051 404 1252,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
MUCPP CHC,Free State,Mangaung,Bloemfontein,Rocklands,051 434 3542,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Batho Clinic,Free State,Mangaung,Bloemfontein,Batho,051 405 4000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Thusong Clinic,Free State,Mangaung,Bloemfontein,Moshoeshoe Road,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Botshabelo Clinic,Free State,Mangaung,Botshabelo,Botshabelo,051 534 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Thaba Nchu Clinic,Free State,Mangaung,Thaba Nchu,Thaba Nchu,051 873 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Namahadi Clinic,Free State,Thabo Mofutsanyana,Qwa-Qwa,Namahadi,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bethlehem Clinic,Free State,Thabo Mofutsanyana,Bethlehem,CBD,058 303 4000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Harrismith Clinic,Free State,Thabo Mofutsanyana,Harrismith,CBD,058 622 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Senekal Clinic,Free State,Thabo Mofutsanyana,Senekal,Senekal,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ficksburg Clinic,Free State,Thabo Mofutsanyana,Ficksburg,Ficksburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Clarens Clinic,Free State,Thabo Mofutsanyana,Clarens,Clarens,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Reitz Clinic,Free State,Thabo Mofutsanyana,Reitz,Reitz,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Frankfort Clinic,Free State,Fezile Dabi,Frankfort,Frankfort,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Sasolburg Clinic,Free State,Fezile Dabi,Sasolburg,CBD,016 970 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Parys Clinic,Free State,Fezile Dabi,Parys,Parys,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Kroonstad Clinic,Free State,Fezile Dabi,Kroonstad,CBD,056 215 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Heilbron Clinic,Free State,Fezile Dabi,Heilbron,Heilbron,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Vrede Clinic,Free State,Thabo Mofutsanyana,Vrede,Vrede,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Warden Clinic,Free State,Thabo Mofutsanyana,Warden,Warden,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Welkom Clinic,Free State,Lejweleputswa,Welkom,CBD,057 916 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Virginia Clinic,Free State,Lejweleputswa,Virginia,Virginia,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Theunissen Clinic,Free State,Lejweleputswa,Theunissen,Theunissen,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Winburg Clinic,Free State,Lejweleputswa,Winburg,Winburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Hennenman Clinic,Free State,Lejweleputswa,Hennenman,Hennenman,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ventersburg Clinic,Free State,Lejweleputswa,Ventersburg,Ventersburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Odendaalsrus Clinic,Free State,Lejweleputswa,Odendaalsrus,Odendaalsrus,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Allanridge Clinic,Free State,Lejweleputswa,Allanridge,Allanridge,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bothaville Clinic,Free State,Lejweleputswa,Bothaville,Bothaville,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Wesselsbron Clinic,Free State,Lejweleputswa,Wesselsbron,Wesselsbron,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Hoopstad Clinic,Free State,Lejweleputswa,Hoopstad,Hoopstad,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bloemhof Clinic,Free State,Lejweleputswa,Bloemhof,Bloemhof,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Christiana Clinic,Free State,Lejweleputswa,Christiana,Christiana,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bultfontein Clinic,Free State,Lejweleputswa,Bultfontein,Bultfontein,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Brandfort Clinic,Free State,Lejweleputswa,Brandfort,Brandfort,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dewetsdorp Clinic,Free State,Xhariep,Dewetsdorp,Dewetsdorp,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Reddersburg Clinic,Free State,Xhariep,Reddersburg,Reddersburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Edenburg Clinic,Free State,Xhariep,Edenburg,Edenburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Trompsburg Clinic,Free State,Xhariep,Trompsburg,Trompsburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Springfontein Clinic,Free State,Xhariep,Springfontein,Springfontein,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Philippolis Clinic,Free State,Xhariep,Philippolis,Philippolis,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Fauresmith Clinic,Free State,Xhariep,Fauresmith,Fauresmith,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Jagersfontein Clinic,Free State,Xhariep,Jagersfontein,Jagersfontein,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Koffiefontein Clinic,Free State,Xhariep,Koffiefontein,Koffiefontein,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Petrusburg Clinic,Free State,Xhariep,Petrusburg,Petrusburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Luckhoff Clinic,Free State,Xhariep,Luckhoff,Luckhoff,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Jacobsdal Clinic,Free State,Xhariep,Jacobsdal,Jacobsdal,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Koppies Clinic,Free State,Fezile Dabi,Koppies,Koppies,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Villiers Clinic,Free State,Fezile Dabi,Villiers,Villiers,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Cornelia Clinic,Free State,Fezile Dabi,Cornelia,Cornelia,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Memel Clinic,Free State,Thabo Mofutsanyana,Memel,Memel,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Paul Roux Clinic,Free State,Thabo Mofutsanyana,Paul Roux,Paul Roux,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
80 Albert Street Clinic,Gauteng,Johannesburg,Johannesburg,Marshalltown,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mayfair Clinic,Gauteng,Johannesburg,Johannesburg,Mayfair,011 837 6206,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Rosettenville Clinic,Gauteng,Johannesburg,Johannesburg,Rosettenville,011 435 1045,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Yeoville Clinic,Gauteng,Johannesburg,Johannesburg,Yeoville,011 648 7979,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Alexandra CHC,Gauteng,Johannesburg,Johannesburg,Alexandra,011 443 2000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Chiawelo CHC,Gauteng,Johannesburg,Soweto,Chiawelo,011 938 5000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Diepkloof Clinic,Gauteng,Johannesburg,Soweto,Diepkloof,011 938 3000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dobsonville Clinic,Gauteng,Johannesburg,Soweto,Dobsonville,011 938 4000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Eldorado Park Ext 9 Clinic,Gauteng,Johannesburg,Johannesburg,Eldorado Park,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ennerdale Ext 8 Clinic,Gauteng,Johannesburg,Johannesburg,Ennerdale,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Lenasia South Clinic,Gauteng,Johannesburg,Johannesburg,Lenasia,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Orlando Clinic,Gauteng,Johannesburg,Soweto,Orlando East,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Pimville Clinic,Gauteng,Johannesburg,Soweto,Pimville,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Senaoane Clinic,Gauteng,Johannesburg,Soweto,Senaoane,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Zola Clinic,Gauteng,Johannesburg,Soweto,Zola,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Meadowlands Clinic,Gauteng,Johannesburg,Soweto,Meadowlands,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Hillbrow Clinic,Gauteng,Johannesburg,Johannesburg,Hillbrow,011 481 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Jeppe Clinic,Gauteng,Johannesburg,Johannesburg,Jeppestown,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Roodepoort Clinic,Gauteng,Johannesburg,Roodepoort,CBD,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Florida Clinic,Gauteng,Johannesburg,Roodepoort,Florida,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Tshwane CHC,Gauteng,Tshwane,Pretoria,CBD,,to_verify,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
